6540,45.049915,38.985392,"350020, Россия, Краснодарский край, г. Краснодар, ул.Одесская,41","\u0426\u0435\u043d\u0442\u0440\u0430\u043b\u044c\u043d\u044b\u0439 \u043c\u0438\u043a\u0440\u043e\u0440\u0430\u0439\u043e\u043d, \u041a\u0440\u0430\u0441\u043d\u043e\u0434\u0430\u0440, \u0420\u043e\u0441\u0441\u0438\u044f"
7440,45.030215,39.031287,"350059, Россия, Краснодарский край, г. Краснодар, ул. Казанская, д. 31.","\u043c\u0438\u043a\u0440\u043e\u0440\u0430\u0439\u043e\u043d \u0425\u043b\u043e\u043f\u0447\u0430\u0442\u043e-\u0431\u0443\u043c\u0430\u0436\u043d\u044b\u0439 \u041a\u043e\u043c\u0431\u0438\u043d\u0430\u0442, \u041a\u0440\u0430\u0441\u043d\u043e\u0434\u0430\u0440, \u0420\u043e\u0441\u0441\u0438\u044f"
7992,45.023877,38.970157,"350072, Россия, Краснодарский край, г. Краснодар, ул. им. Рахманинова С.В., д.34, кв. 178","\u0420\u043e\u0441\u0441\u0438\u044f"
10680,45.020500,38.966384,"350063, Россия, Краснодарский край, г. Краснодар, ул. Рашпилевская, д. 31","\u041a\u0440\u0430\u0441\u043d\u043e\u0434\u0430\u0440, \u0420\u043e\u0441\u0441\u0438\u044f"
10968,45.039948,39.090729,"350080, Краснодарский край, Краснодар, Карасунский административный округ, ул. Уральская 113","\u041a\u0440\u0430\u0441\u043d\u043e\u0434\u0430\u0440, \u0420\u043e\u0441\u0441\u0438\u044f"
12120,45.006297,38.966662,"350007, Россия, Краснодарский край, г. Краснодар, ул. Захарова, д. 25, офис 1","\u0426\u0435\u043d\u0442\u0440\u0430\u043b\u044c\u043d\u044b\u0439 \u043c\u0438\u043a\u0440\u043e\u0440\u0430\u0439\u043e\u043d, \u041a\u0440\u0430\u0441\u043d\u043e\u0434\u0430\u0440, \u0420\u043e\u0441\u0441\u0438\u044f"
14496,45.034375,39.101122,"350080, Краснодарский край, г. Краснодар, Карасунский административный округ, ул. Сормовская, д. 181","\u041a\u0440\u0430\u0441\u043d\u043e\u0434\u0430\u0440, \u0420\u043e\u0441\u0441\u0438\u044f"
15408,45.028253,38.991043,"350911, Россия, Краснодарский край, г. Краснодар, Карасунский внутригородской округ, пос. ТЭЦ, ул. Садовая, д. 5/3","\u041a\u0440\u0430\u0441\u043d\u043e\u0434\u0430\u0440, \u0420\u043e\u0441\u0441\u0438\u044f"
17232,45.020685,39.024307,"350040, Россия, Краснодарский край, г. Краснодар, ул. Ставропольская, 131, кв. 10","\u043c\u0438\u043a\u0440\u043e\u0440\u0430\u0439\u043e\u043d \u0427\u0435\u0440\u0435\u043c\u0443\u0448\u043a\u0438, \u041a\u0440\u0430\u0441\u043d\u043e\u0434\u0430\u0440, \u0420\u043e\u0441\u0441\u0438\u044f"
18024,45.038082,39.122556,"350912, Россия, Краснодарский край, г. Краснодар, ул. Лавочкина, д. 21","\u041f\u0430\u0448\u043a\u043e\u0432\u0441\u043a\u0438\u0439 \u043c\u0438\u043a\u0440\u043e\u0440\u0430\u0439\u043e\u043d, \u041a\u0440\u0430\u0441\u043d\u043e\u0434\u0430\u0440, \u0420\u043e\u0441\u0441\u0438\u044f"
19176,45.013619,38.985096,"350033, Россия, Краснодарский край, г. Краснодар, улица им. Челюскина, д. 15","\u043c\u0438\u043a\u0440\u043e\u0440\u0430\u0439\u043e\u043d \u0427\u0435\u0440\u0435\u043c\u0443\u0448\u043a\u0438, \u041a\u0440\u0430\u0441\u043d\u043e\u0434\u0430\u0440, \u0420\u043e\u0441\u0441\u0438\u044f"
19380,45.037197,38.993836,"350000, Краснодарский край, г. Краснодар, ул. Северная, д. 470","\u041a\u0440\u0430\u0441\u043d\u043e\u0434\u0430\u0440, \u0420\u043e\u0441\u0441\u0438\u044f"
19668,45.042986,39.043486,"350059, Россия, Краснодарский край, г. Краснодар, Центральный внутригородской округ, ул. Тихорецкая, д.5/2","\u041a\u0440\u0430\u0441\u043d\u043e\u0434\u0430\u0440, \u0420\u043e\u0441\u0441\u0438\u044f"
19680,45.025692,38.969330,"350000, Россия, Краснодарский край, г. Краснодар, ул. Рашпилевская, д. 44/ ул. Гимназическая, д. 57","\u0426\u0435\u043d\u0442\u0440\u0430\u043b\u044c\u043d\u044b\u0439 \u043c\u0438\u043a\u0440\u043e\u0440\u0430\u0439\u043e\u043d, \u041a\u0440\u0430\u0441\u043d\u043e\u0434\u0430\u0440, \u0420\u043e\u0441\u0441\u0438\u044f"
22500,44.999586,39.079113,"350065, Россия, Краснодарский край, г. Краснодар, ул. Снесарева, д. 2, пом. 24","\u043c\u0438\u043a\u0440\u043e\u0440\u0430\u0439\u043e\u043d \u0413\u0438\u0434\u0440\u043e\u0441\u0442\u0440\u043e\u0438\u0442\u0435\u043b\u0435\u0439, \u041a\u0440\u0430\u0441\u043d\u043e\u0434\u0430\u0440, \u0420\u043e\u0441\u0441\u0438\u044f"
22968,45.022647,39.041195,"350059, Россия, Краснодарский край, г. Краснодар, ул.Селезнева, д.88/1 кв. 128 А","\u043c\u0438\u043a\u0440\u043e\u0440\u0430\u0439\u043e\u043d \u0427\u0435\u0440\u0435\u043c\u0443\u0448\u043a\u0438, \u041a\u0440\u0430\u0441\u043d\u043e\u0434\u0430\u0440, \u0420\u043e\u0441\u0441\u0438\u044f"
24744,45.132350,38.936093,"350059, Россия, Краснодарский край, г. Краснодар, Прикубанский внутригородской округ, ул. Героя Аверкиева А.А., д. 18","\u041a\u0440\u0430\u0441\u043d\u043e\u0434\u0430\u0440, \u0420\u043e\u0441\u0441\u0438\u044f"
25344,45.018251,38.994815,"350033, Россия, Краснодарский край, г. Краснодар, Центральный округ, ул. Ставропольская, 80","\u043c\u0438\u043a\u0440\u043e\u0440\u0430\u0439\u043e\u043d \u0427\u0435\u0440\u0435\u043c\u0443\u0448\u043a\u0438, \u041a\u0440\u0430\u0441\u043d\u043e\u0434\u0430\u0440, \u0420\u043e\u0441\u0441\u0438\u044f"
27768,45.056696,39.013500,"350029, Краснодарский край, г. Краснодар, Прикубанский административный округ, ул. 40 лет Победы, д. 39","\u041a\u0440\u0430\u0441\u043d\u043e\u0434\u0430\u0440, \u0420\u043e\u0441\u0441\u0438\u044f"
29268,45.029209,38.913374,"350089, Россия, Краснодарский край, г. Краснодар, проспект Чекистов, д. 24/1, кв. 181-182.","\u042e\u0431\u0438\u043b\u0435\u0439\u043d\u044b\u0439 \u043c\u0438\u043a\u0440\u043e\u0440\u0430\u0439\u043e\u043d, \u041a\u0440\u0430\u0441\u043d\u043e\u0434\u0430\u0440, \u0420\u043e\u0441\u0441\u0438\u044f"
30360,45.026259,39.034269,"350075, Краснодарский край, г. Краснодар, ул.Лермонтова, д. 1","\u043c\u0438\u043a\u0440\u043e\u0440\u0430\u0439\u043e\u043d \u0425\u043b\u043e\u043f\u0447\u0430\u0442\u043e-\u0431\u0443\u043c\u0430\u0436\u043d\u044b\u0439 \u041a\u043e\u043c\u0431\u0438\u043d\u0430\u0442, \u041a\u0440\u0430\u0441\u043d\u043e\u0434\u0430\u0440, \u0420\u043e\u0441\u0441\u0438\u044f"
30468,45.021195,39.086282,"350063, Россия, Краснодарский край, г. Краснодар, ул. Кубанская, дом 47, кв.303","\u041f\u0430\u0448\u043a\u043e\u0432\u0441\u043a\u0438\u0439 \u043c\u0438\u043a\u0440\u043e\u0440\u0430\u0439\u043e\u043d, \u041a\u0440\u0430\u0441\u043d\u043e\u0434\u0430\u0440, \u0420\u043e\u0441\u0441\u0438\u044f"
34728,45.053901,39.008290,"350072, Краснодарский край, г. Краснодар, Прикубанский округ, ул. Армавирская, 60","\u043c\u0438\u043a\u0440\u043e\u0440\u0430\u0439\u043e\u043d \u041a\u0440\u0430\u0435\u0432\u0430\u044f \u041a\u043b\u0438\u043d\u0438\u0447\u0435\u0441\u043a\u0430\u044f \u0411\u043e\u043b\u044c\u043d\u0438\u0446\u0430, \u041a\u0440\u0430\u0441\u043d\u043e\u0434\u0430\u0440, \u0420\u043e\u0441\u0441\u0438\u044f"
34956,45.024832,39.065872,"350018, Краснодарский край, г. Краснодар, ул.Сормовская, д. 9, кв. 24","\u041a\u0440\u0430\u0441\u043d\u043e\u0434\u0430\u0440, \u0420\u043e\u0441\u0441\u0438\u044f"
40200,45.092990,39.016950,"350087, Россия, Краснодарский край, г. Краснодар, бульвар Интернациональный, д. 66","\u043c\u0438\u043a\u0440\u043e\u0440\u0430\u0439\u043e\u043d \u0417\u0430\u0432\u043e\u0434 \u0420\u0430\u0434\u0438\u043e\u0438\u0437\u043c\u0435\u0440\u0438\u0442\u0435\u043b\u044c\u043d\u044b\u0445 \u041f\u0440\u0438\u0431\u043e\u0440\u043e\u0432, \u041a\u0440\u0430\u0441\u043d\u043e\u0434\u0430\u0440, \u0420\u043e\u0441\u0441\u0438\u044f"
41028,45.055900,38.977334,"350020, Россия, Краснодарский край, г. Краснодар, ул. Брянская, д. 6, офис 409","\u0424\u0435\u0441\u0442\u0438\u0432\u0430\u043b\u044c\u043d\u044b\u0439 \u043c\u0438\u043a\u0440\u043e\u0440\u0430\u0439\u043e\u043d, \u041a\u0440\u0430\u0441\u043d\u043e\u0434\u0430\u0440, \u0420\u043e\u0441\u0441\u0438\u044f"
41124,45.065119,39.018154,"350029, Россия, Краснодарский край, г. Краснодар, Прикубанский внутригородской округ, ул. Черкасская, д. 22","\u041a\u0440\u0430\u0441\u043d\u043e\u0434\u0430\u0440, \u0420\u043e\u0441\u0441\u0438\u044f"
41208,45.041247,38.988213,"350002, Краснодарский край, г. Краснодар, ул. Промышленная, д. 21/1","\u0426\u0435\u043d\u0442\u0440\u0430\u043b\u044c\u043d\u044b\u0439 \u043c\u0438\u043a\u0440\u043e\u0440\u0430\u0439\u043e\u043d, \u041a\u0440\u0430\u0441\u043d\u043e\u0434\u0430\u0440, \u0420\u043e\u0441\u0441\u0438\u044f"
45432,45.038082,38.976840,"350015, Россия, Краснодарский край, г. Краснодар, ул. Красноармейская, д. 129","\u0426\u0435\u043d\u0442\u0440\u0430\u043b\u044c\u043d\u044b\u0439 \u043c\u0438\u043a\u0440\u043e\u0440\u0430\u0439\u043e\u043d, \u041a\u0440\u0430\u0441\u043d\u043e\u0434\u0430\u0440, \u0420\u043e\u0441\u0441\u0438\u044f"
45720,45.018251,38.994815,"350001, Россия, Краснодарский край, г. Краснодар, ул. Ставропольская, д. 80","\u043c\u0438\u043a\u0440\u043e\u0440\u0430\u0439\u043e\u043d \u0427\u0435\u0440\u0435\u043c\u0443\u0448\u043a\u0438, \u041a\u0440\u0430\u0441\u043d\u043e\u0434\u0430\u0440, \u0420\u043e\u0441\u0441\u0438\u044f"
46152,45.023877,38.970157,"350072, Краснодарский край, г. Краснодар, ул. Шолохова М.А., д. 28","\u0420\u043e\u0441\u0441\u0438\u044f"
47652,45.060580,39.023642,"350059, Россия, Краснодарский край, г. Краснодар, ул. Восточно-Кругликовская, д. 51, кв. 94","\u041a\u0440\u0430\u0441\u043d\u043e\u0434\u0430\u0440, \u0420\u043e\u0441\u0441\u0438\u044f"
51864,45.068990,38.995372,"350072, Краснодарский край, г. Краснодар, ул. Тополиная аллея, д. 105","\u043c\u0438\u043a\u0440\u043e\u0440\u0430\u0439\u043e\u043d \u0417\u0430\u0432\u043e\u0434 \u0418\u0437\u043c\u0435\u0440\u0438\u0442\u0435\u043b\u044c\u043d\u044b\u0445 \u041f\u0440\u0438\u0431\u043e\u0440\u043e\u0432, \u041a\u0440\u0430\u0441\u043d\u043e\u0434\u0430\u0440, \u0420\u043e\u0441\u0441\u0438\u044f"
52452,45.003429,38.962045,"350020, Россия, Краснодарский край, г. Краснодар, Западный внутригородской округ, 2-ой проезд Нефтезаводской, д. 4/1, кв. 9","\u041a\u0440\u0430\u0441\u043d\u043e\u0434\u0430\u0440, \u0420\u043e\u0441\u0441\u0438\u044f"
52464,45.047597,38.977819,"350020, Россия, Краснодарский край, г. Краснодар, ул. Красная, д. 145, корпус 1, кв. 40","\u0426\u0435\u043d\u0442\u0440\u0430\u043b\u044c\u043d\u044b\u0439 \u043c\u0438\u043a\u0440\u043e\u0440\u0430\u0439\u043e\u043d, \u041a\u0440\u0430\u0441\u043d\u043e\u0434\u0430\u0440, \u0420\u043e\u0441\u0441\u0438\u044f"
52860,45.021749,38.961695,"350910, Россия, Краснодарский край, г. Краснодар, ул. Мира, д. 4/1","\u0426\u0435\u043d\u0442\u0440\u0430\u043b\u044c\u043d\u044b\u0439 \u043c\u0438\u043a\u0440\u043e\u0440\u0430\u0439\u043e\u043d, \u041a\u0440\u0430\u0441\u043d\u043e\u0434\u0430\u0440, \u0420\u043e\u0441\u0441\u0438\u044f"
54516,45.067404,38.958964,"350066, Россия, Краснодарский край, г. Краснодар, ул. Яна Полуяна/Архитектора Ишунина,д.51/1","\u0424\u0435\u0441\u0442\u0438\u0432\u0430\u043b\u044c\u043d\u044b\u0439 \u043c\u0438\u043a\u0440\u043e\u0440\u0430\u0439\u043e\u043d, \u041a\u0440\u0430\u0441\u043d\u043e\u0434\u0430\u0440, \u0420\u043e\u0441\u0441\u0438\u044f"
57492,45.031802,39.093226,"350080, Краснодарский край, Краснодар, ул. Сормовская, д. 108/2","\u041a\u0440\u0430\u0441\u043d\u043e\u0434\u0430\u0440, \u0420\u043e\u0441\u0441\u0438\u044f"
58248,45.019283,39.035114,"350058, Россия, Краснодарский край, г. Краснодар, ул. Ставропольская, д. 155, корпус 1, кв. 31","\u043c\u0438\u043a\u0440\u043e\u0440\u0430\u0439\u043e\u043d \u0427\u0435\u0440\u0435\u043c\u0443\u0448\u043a\u0438, \u041a\u0440\u0430\u0441\u043d\u043e\u0434\u0430\u0440, \u0420\u043e\u0441\u0441\u0438\u044f"
58740,45.017996,39.033524,"350040, Россия, Краснодарский край, г. Краснодар, ул. Ставропольская, д. 230, кв. 43","\u043c\u0438\u043a\u0440\u043e\u0440\u0430\u0439\u043e\u043d \u0427\u0435\u0440\u0435\u043c\u0443\u0448\u043a\u0438, \u041a\u0440\u0430\u0441\u043d\u043e\u0434\u0430\u0440, \u0420\u043e\u0441\u0441\u0438\u044f"
59820,45.021908,38.960599,"350063, Россия, Краснодарский край, г. Краснодар, ул. Кубанская Набережная, д.64","\u0426\u0435\u043d\u0442\u0440\u0430\u043b\u044c\u043d\u044b\u0439 \u043c\u0438\u043a\u0440\u043e\u0440\u0430\u0439\u043e\u043d, \u041a\u0440\u0430\u0441\u043d\u043e\u0434\u0430\u0440, \u0420\u043e\u0441\u0441\u0438\u044f"
60624,45.018876,39.039066,"350058, Россия, Краснодарский край, г. Краснодар, Карасунский внутригородской округ, ул. Ставропольская, д. 183/1, кв. 130","\u041a\u0440\u0430\u0441\u043d\u043e\u0434\u0430\u0440, \u0420\u043e\u0441\u0441\u0438\u044f"
61512,45.024214,38.974406,"350000, Россия, Краснодарский край, г. Краснодар, ул. Коммунаров, д. 59","\u0426\u0435\u043d\u0442\u0440\u0430\u043b\u044c\u043d\u044b\u0439 \u043c\u0438\u043a\u0440\u043e\u0440\u0430\u0439\u043e\u043d, \u041a\u0440\u0430\u0441\u043d\u043e\u0434\u0430\u0440, \u0420\u043e\u0441\u0441\u0438\u044f"
63132,45.054206,38.936209,"350047, Россия, Краснодарский край, г. Краснодар, Западный округ, ул.Красных Партизан, д.16/1","\u041a\u0440\u0430\u0441\u043d\u043e\u0434\u0430\u0440, \u0420\u043e\u0441\u0441\u0438\u044f"
65076,45.096489,38.976732,"350000, Россия, Краснодарский край, г. Краснодар, ул. Кореновская, д. 12","\u041a\u0440\u0430\u0441\u043d\u043e\u0434\u0430\u0440, \u0420\u043e\u0441\u0441\u0438\u044f"
67152,45.050271,38.945776,"350000, Россия, Краснодарский край, г. Краснодар, Прикубанский округ, ул. им. С.Передерия, д. 170/ул. им. Космонавта Гагарина, д. 116","\u0424\u0435\u0441\u0442\u0438\u0432\u0430\u043b\u044c\u043d\u044b\u0439 \u043c\u0438\u043a\u0440\u043e\u0440\u0430\u0439\u043e\u043d, \u041a\u0440\u0430\u0441\u043d\u043e\u0434\u0430\u0440, \u0420\u043e\u0441\u0441\u0438\u044f"
67164,45.038904,39.022843,"350059, Краснодарский край, г. Краснодар, ул.Школьная, 15/7","\u0428\u043a\u043e\u043b\u044c\u043d\u044b\u0439 \u043c\u0438\u043a\u0440\u043e\u0440\u0430\u0439\u043e\u043d, \u041a\u0440\u0430\u0441\u043d\u043e\u0434\u0430\u0440, \u0420\u043e\u0441\u0441\u0438\u044f"
68244,45.024138,38.904328,"350089, Россия, Краснодарский край, г. Краснодар, ул. Рождественская набережная, д. 1","\u042e\u0431\u0438\u043b\u0435\u0439\u043d\u044b\u0439 \u043c\u0438\u043a\u0440\u043e\u0440\u0430\u0439\u043e\u043d, \u041a\u0440\u0430\u0441\u043d\u043e\u0434\u0430\u0440, \u0420\u043e\u0441\u0441\u0438\u044f"
69492,45.026049,39.008910,"350000, Россия, Краснодарский край, г. Краснодар, ул. Новороссийская, д. 82","\u041a\u0440\u0430\u0441\u043d\u043e\u0434\u0430\u0440, \u0420\u043e\u0441\u0441\u0438\u044f"
69888,45.065189,38.953619,"350000, Россия, Краснодарский край, г. Краснодар, Прикубанский внутригородской округ, ул. Казбекская, д. 14, офис 8","\u041a\u0440\u0430\u0441\u043d\u043e\u0434\u0430\u0440, \u0420\u043e\u0441\u0441\u0438\u044f"
70428,45.059529,38.954787,"350062, Россия, Краснодарский край, г. Краснодар, Прикубанский внутригородской округ, ул. Атарбекова, д. 27","\u041a\u0440\u0430\u0441\u043d\u043e\u0434\u0430\u0440, \u0420\u043e\u0441\u0441\u0438\u044f"
77736,45.037470,38.946109,"350004, Россия, Краснодарский край, г. Краснодар, Западный административный округ, улица Кожевенная, дом 42, кв. 5","\u043c\u0438\u043a\u0440\u043e\u0440\u0430\u0439\u043e\u043d \u041a\u043e\u0436\u0437\u0430\u0432\u043e\u0434, \u041a\u0440\u0430\u0441\u043d\u043e\u0434\u0430\u0440, \u0420\u043e\u0441\u0441\u0438\u044f"
78552,45.041980,38.994447,"350002, Россия, Краснодарский край, г. Краснодар, Центральный административный округ, ул. Садовая, д. 159","\u041a\u0440\u0430\u0441\u043d\u043e\u0434\u0430\u0440, \u0420\u043e\u0441\u0441\u0438\u044f"
80328,45.010599,39.071496,"350061, Россия, Краснодарский край, г. Краснодар, ул. Игнатова, д. 4, кв. 106","\u043c\u0438\u043a\u0440\u043e\u0440\u0430\u0439\u043e\u043d \u0413\u0438\u0434\u0440\u043e\u0441\u0442\u0440\u043e\u0438\u0442\u0435\u043b\u0435\u0439, \u041a\u0440\u0430\u0441\u043d\u043e\u0434\u0430\u0440, \u0420\u043e\u0441\u0441\u0438\u044f"
82452,45.026584,39.073292,"350000, Россия, Краснодарский край, г. Краснодар, ул. Сормовская, д. 28, кв. 2","\u041a\u0440\u0430\u0441\u043d\u043e\u0434\u0430\u0440, \u0420\u043e\u0441\u0441\u0438\u044f"
85488,45.012007,38.995956,"350001, Россия, Краснодарский край, г. Краснодар, ул. Вишняковой , д. 2","\u043c\u0438\u043a\u0440\u043e\u0440\u0430\u0439\u043e\u043d \u0427\u0435\u0440\u0435\u043c\u0443\u0448\u043a\u0438, \u041a\u0440\u0430\u0441\u043d\u043e\u0434\u0430\u0440, \u0420\u043e\u0441\u0441\u0438\u044f"
89244,45.129915,39.037692,"350000, Россия, Краснодарский край, г. Краснодар, Карасунский внутригородской округ, ДНТ «Гидростроитель» ул. Шоссейная, д. 19.","\u041a\u0440\u0430\u0441\u043d\u043e\u0434\u0430\u0440, \u0420\u043e\u0441\u0441\u0438\u044f"
96672,45.051290,38.949981,"350047, Россия, Краснодарский край, г. Краснодар, ул. Кропоткина, д. 239/1","\u0424\u0435\u0441\u0442\u0438\u0432\u0430\u043b\u044c\u043d\u044b\u0439 \u043c\u0438\u043a\u0440\u043e\u0440\u0430\u0439\u043e\u043d, \u041a\u0440\u0430\u0441\u043d\u043e\u0434\u0430\u0440, \u0420\u043e\u0441\u0441\u0438\u044f"
98592,45.018391,39.018827,"350040, Россия, Краснодарский край, г. Краснодар, ул. Ким, д. 162.","\u043c\u0438\u043a\u0440\u043e\u0440\u0430\u0439\u043e\u043d \u0427\u0435\u0440\u0435\u043c\u0443\u0448\u043a\u0438, \u041a\u0440\u0430\u0441\u043d\u043e\u0434\u0430\u0440, \u0420\u043e\u0441\u0441\u0438\u044f"
100428,45.047718,38.779804,"350000, Краснодарский край, г. Краснодар, станица Елизаветинская, ул. Ленина, д.52","\u0441\u0442\u0430\u043d\u0438\u0446\u0430 \u0415\u043b\u0438\u0437\u0430\u0432\u0435\u0442\u0438\u043d\u0441\u043a\u0430\u044f, \u0433\u043e\u0440\u043e\u0434\u0441\u043a\u043e\u0439 \u043e\u043a\u0440\u0443\u0433 \u041a\u0440\u0430\u0441\u043d\u043e\u0434\u0430\u0440, \u0420\u043e\u0441\u0441\u0438\u044f"
102648,45.019920,38.973714,"350063, Россия, Краснодарский край, г. Краснодар, ул. Мира, д. 52","\u0426\u0435\u043d\u0442\u0440\u0430\u043b\u044c\u043d\u044b\u0439 \u043c\u0438\u043a\u0440\u043e\u0440\u0430\u0439\u043e\u043d, \u041a\u0440\u0430\u0441\u043d\u043e\u0434\u0430\u0440, \u0420\u043e\u0441\u0441\u0438\u044f"
105972,45.013390,39.059341,"350911, Россия, Краснодарский край, г. Краснодар, Карасунский внутригородской округ, ул. Трамвайная, 4/1","\u041a\u0440\u0430\u0441\u043d\u043e\u0434\u0430\u0440, \u0420\u043e\u0441\u0441\u0438\u044f"
111144,45.068035,38.914165,"350012, Россия, Краснодарский край, г. Краснодар, Прикубанский внутригородской округ, ул. Красных Партизан, д. 81, кв. 151","\u041a\u0440\u0430\u0441\u043d\u043e\u0434\u0430\u0440, \u0420\u043e\u0441\u0441\u0438\u044f"
111900,45.008152,39.079176,"350061, Краснодарский край, г. Краснодар, ул. Благоева, д. 18, кв. 33","\u043c\u0438\u043a\u0440\u043e\u0440\u0430\u0439\u043e\u043d \u0413\u0438\u0434\u0440\u043e\u0441\u0442\u0440\u043e\u0438\u0442\u0435\u043b\u0435\u0439, \u041a\u0440\u0430\u0441\u043d\u043e\u0434\u0430\u0440, \u0420\u043e\u0441\u0441\u0438\u044f"
112344,45.040349,39.108183,"350088, Россия, Краснодарский край, г. Краснодар, Карасунский округ, ул. Сормовская, д. 189, кв. 94","\u041a\u0440\u0430\u0441\u043d\u043e\u0434\u0430\u0440, \u0420\u043e\u0441\u0441\u0438\u044f"
113868,45.006087,39.068522,"350065, Россия, Краснодарский край, г. Краснодар, Карасунский округ, ул. Трудовой Славы, д. 1.","\u043c\u0438\u043a\u0440\u043e\u0440\u0430\u0439\u043e\u043d \u0413\u0438\u0434\u0440\u043e\u0441\u0442\u0440\u043e\u0438\u0442\u0435\u043b\u0435\u0439, \u041a\u0440\u0430\u0441\u043d\u043e\u0434\u0430\u0440, \u0420\u043e\u0441\u0441\u0438\u044f"
121776,45.020634,38.969294,"350063, Россия, Краснодарский край, г. Краснодар, ул.Красная, д. 28","\u0426\u0435\u043d\u0442\u0440\u0430\u043b\u044c\u043d\u044b\u0439 \u043c\u0438\u043a\u0440\u043e\u0440\u0430\u0439\u043e\u043d, \u041a\u0440\u0430\u0441\u043d\u043e\u0434\u0430\u0440, \u0420\u043e\u0441\u0441\u0438\u044f"
125436,45.020876,39.007068,"350001, Россия, Краснодарский край, г. Краснодар, Центральный внутригородской округ, ул. Ставропольская, д. 79.861","\u041a\u0440\u0430\u0441\u043d\u043e\u0434\u0430\u0440, \u0420\u043e\u0441\u0441\u0438\u044f"
128676,45.021832,39.025574,"350040, Россия, Краснодарский край, г. Краснодар, Карасунский внутригородской округ, ул. 2-я Пятилетка, д. 6/2.","\u041a\u0440\u0430\u0441\u043d\u043e\u0434\u0430\u0440, \u0420\u043e\u0441\u0441\u0438\u044f"
